Statistical profiling result from isolate-0x102801e00-v8.log, (2581 ticks, 222 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: ~selectColor /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/sequelize/node_modules/debug/src/common.js:43:23
      1    0.0%    0.0%  LazyCompile: ~run /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/sequelize/lib/dialects/sqlite/query.js:79:6
      1    0.0%    0.0%  LazyCompile: ~require internal/module.js:8:19
      1    0.0%    0.0%  LazyCompile: ~object.(anonymous function) /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/sqlite3/lib/trace.js:6:32
      1    0.0%    0.0%  LazyCompile: ~nullCheck fs.js:171:19
      1    0.0%    0.0%  LazyCompile: ~normaliseOptions /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/babel-core/lib/transformation/file/options/option-manager.js:334:71
      1    0.0%    0.0%  LazyCompile: ~next /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/json5/lib/json5.js:67:25
      1    0.0%    0.0%  LazyCompile: ~module.exports /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/core-js/library/modules/_is-object.js:1:89
      1    0.0%    0.0%  LazyCompile: ~module.exports /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/bluebird/js/release/debuggability.js:2:26
      1    0.0%    0.0%  LazyCompile: ~mapSourcePosition /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/source-map-support/source-map-support.js:167:27
      1    0.0%    0.0%  LazyCompile: ~json /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/express/lib/response.js:239:25
      1    0.0%    0.0%  LazyCompile: ~isPluginRequired /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/babel-preset-env/lib/index.js:52:76
      1    0.0%    0.0%  LazyCompile: ~isArrayLike /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/lodash/lodash.js:11333:25
      1    0.0%    0.0%  LazyCompile: ~insert timers.js:166:16
      1    0.0%    0.0%  LazyCompile: ~insert /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/sequelize/lib/query-interface.js:893:9
      1    0.0%    0.0%  LazyCompile: ~handleError fs.js:279:21
      1    0.0%    0.0%  LazyCompile: ~fs.closeSync fs.js:628:24
      1    0.0%    0.0%  LazyCompile: ~formatValue util.js:370:21
      1    0.0%    0.0%  LazyCompile: ~exports.default /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/babel-core/lib/helpers/resolve.js:9:28
      1    0.0%    0.0%  LazyCompile: ~done /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/mocha/lib/runnable.js:303:16
      1    0.0%    0.0%  LazyCompile: ~done /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/mocha/bin/_mocha:60:16
      1    0.0%    0.0%  LazyCompile: ~defineType /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/babel-types/lib/definitions/index.js:197:20
      1    0.0%    0.0%  LazyCompile: ~createTableQuery /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/sequelize/lib/dialects/sqlite/query-generator.js:27:19
      1    0.0%    0.0%  LazyCompile: ~createScript vm.js:79:22
      1    0.0%    0.0%  LazyCompile: ~createBareOptions /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/babel-core/lib/transformation/file/options/option-manager.js:130:63
      1    0.0%    0.0%  LazyCompile: ~compareIdentifiers /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/semver/semver.js:547:28
      1    0.0%    0.0%  LazyCompile: ~compareByOriginalPositions /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/source-map/lib/util.js:304:36
      1    0.0%    0.0%  LazyCompile: ~check /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/bluebird/js/release/promise.js:60:15
      1    0.0%    0.0%  LazyCompile: ~callSiteLocation /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/depd/index.js:251:27
      1    0.0%    0.0%  LazyCompile: ~baseKeysIn /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/lodash/lodash.js:3508:24
      1    0.0%    0.0%  LazyCompile: ~baseGetTag /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/lodash/lodash.js:3069:24
      1    0.0%    0.0%  LazyCompile: ~assignValue /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/lodash/lodash.js:2471:25
      1    0.0%    0.0%  LazyCompile: ~assertSize buffer.js:239:20
      1    0.0%    0.0%  LazyCompile: ~arrayEach /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/lodash/_arrayEach.js:10:19
      1    0.0%    0.0%  LazyCompile: ~applyTo /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/sequelize/lib/hooks.js:226:17
      1    0.0%    0.0%  LazyCompile: ~alignPool buffer.js:123:19
      1    0.0%    0.0%  LazyCompile: ~_expandAttributes /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/sequelize/lib/model.js:2865:27
      1    0.0%    0.0%  LazyCompile: ~_drainQueueStep /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/bluebird/js/release/async.js:135:25
      1    0.0%    0.0%  LazyCompile: ~Uint8Array native typedarray.js:158:31
      1    0.0%    0.0%  LazyCompile: ~SourceMapConsumer_charIsMappingSeparator /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/source-map/lib/source-map-consumer.js:87:52
      1    0.0%    0.0%  LazyCompile: ~Queue.push /Users/gustavo/Workspace/pessoal/DDDBase/node_modules/bluebird/js/release/queue.js:27:33
